Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-05-29,FY 18,0.5,21000.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.6931471805599453
2017-05-29,FY 18,14.88,624960.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.700018029404946
2017-05-30,FY 18,3.08,129976.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.1249295969854831
2017-05-30,FY 18,13.18,533790.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.578700529074361
2017-05-30,FY 18,5.36,218420.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6789639750827108
2017-05-30,FY 18,2.1,90300.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.7419373447293773
2017-05-31,FY 18,3.96,167112.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3762440252663892
2017-05-31,FY 18,3.33,140859.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.2029723039923526
2017-05-31,FY 18,23.38,934008.79,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.1518809560439225
2017-05-31,FY 18,22.51,961177.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.113959654918641
2017-06-01,FY 18,4.37,182666.0,False,False,False,False,False,False,True,False,False,False,False,False,1,1,1.4747630091074988
2017-06-01,FY 18,0.98,41356.0,False,False,False,False,False,False,True,False,False,False,False,False,1,1,-0.020202707317519466
2017-06-01,FY 18,-17.77,-549093.0,False,False,False,False,False,False,True,False,False,False,False,False,1,1,1.0577902941478545
2017-06-01,FY 18,-10.55,-369250.0,False,False,False,False,False,False,True,False,False,False,False,False,1,1,1.4996230464268938
2017-06-03,FY 18,0.99,41778.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,-0.01005033585350145
2017-06-03,FY 18,5.93,249060.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.780024213009634
2017-06-05,FY 18,5.6,235200.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.7227665977411035
2017-06-05,FY 18,3.0,129000.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.0986122886681098
2017-06-05,FY 18,1.89,81270.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.636576829071551
2017-06-06,FY 18,16.16,690032.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,2.7825390530929495
2017-06-06,FY 18,3.54,130980.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.264126727145683
2017-06-07,FY 18,4.13,174286.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.4182774069729414
2017-06-07,FY 18,3.02,127444.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.1052568313867783
2017-06-07,FY 18,2.95,126850.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.0818051703517284
2017-06-07,FY 18,1.61,69230.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.4762341789963717
2017-06-07,FY 18,10.78,452760.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,2.377692565480851
2017-06-08,FY 18,8.09,339780.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,2.0906287310704004
2017-06-08,FY 18,3.12,134160.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.1378330018213911
2017-06-08,FY 18,5.42,227640.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.6900958154515549
2017-06-08,FY 18,2.94,118188.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.0784095813505903
2017-06-09,FY 18,2.1,90300.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.7419373447293773
2017-06-09,FY 18,21.49,917623.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,3.067587710654419
2017-06-09,FY 18,3.02,129860.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.1052568313867783
2017-06-09,FY 18,5.04,211680.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.6174060820832772
2017-06-09,FY 18,1.02,43044.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.01980262729617973
2017-06-09,FY 18,2.11,84822.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.7466879474879751
2017-06-10,FY 18,4.02,169644.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.3912819026309295
2017-06-10,FY 18,2.03,85666.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,0.7080357930536959
2017-06-10,FY 18,5.44,228480.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.6937790608678513
2017-06-10,FY 18,0.51,20094.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,-0.6733445532637656
2017-06-12,FY 18,4.18,179740.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,1.430311246536665
2017-06-12,FY 18,10.65,407895.0,False,False,False,False,False,False,True,False,False,False,False,False,2,4,2.365559892155434
